akrobat,杂技,中国語で「アクロバット(曲芸)」を表す標準的な語が「杂技」。1文字では適当な字が無く、2文字熟語の中では比較的画数も少なめ。,「杂(9画)」「技(7画)」はいずれも他の言葉にも応用しやすい常用字。
monopol,独占,「独占」は日本語でも「独占」と書き、意味が通じる。中国語では「垄断」の方が経済学的に正式だが、「独占」も通じやすい。画数的にもやや抑えめ。,「独(9画)」「占(5画)」。今後「独」を「一人」「独立」などにも流用可能。
monomani,偏执,「偏执狂」は「パラノイア(偏執狂)」の意味で広く知られるが、2文字に抑えるなら「偏执」も「偏執(的思い込み)」を指し示す表現として無難。,「偏(9画)」「执(6画)」。若干画数は多めだが、他候補(「偏执狂」など3文字)より短縮。
solecism,语病,「语病」は「言葉(文章)の誤り」を指す簡潔な常用表現。「谬误(誤り)」もあるが、文法違反のニュアンスには「语病」が適当。,「语(9画)」「病(10画)」。どちらも初級～中級レベルで学ぶことが多い。
monolog,独白,「独白」は「一人語り・モノローグ」の定訳。中国語でも舞台や文学で用いられる。,「独(9画)」「白(5画)」。上記の「独占」でも「独」を使用しており重複利用可能。
monoton,单调,「単調な」の意味に最も一般的な簡体字表現が「单调」。,「单(8画)」「调(10画)」。やや画数は多いが、中国語では非常に頻出の組み合わせ。
unison,齐奏,音楽用語の「ユニゾン」は中国語で「齐奏」が一般的(「齐唱」「齐奏」など)。,「齐(6画)」「奏(9画)」。いずれも音楽関連で再利用しやすい。
liber,自由,「自由」は日中共通で「free」の意味を表す最も基本的な単語。,「自(6画)」「由(5画)」。ともに頻出のため習得メリット大。
liberal,自由主义,"政治思想としての「リベラル」は中国語で「自由主义」が一般的(「自由派」などもあるが本来は""主義""が対応)。",「自由(前項で登場)」＋「主义(主=5画＋义=3画)」。すでに「自」「由」を使っているため、新規導入は「主」「义」の2字。
improviz,即兴,「即兴」は「即興」の意で、中国語の定番表現。1文字化は困難なので2文字で対応。,「即(7～9画と数え方により差)」「兴(6画)」。よく使われる熟語なので覚えやすい。
spontane,自发,「自发(的)」は「自発的」「自然に起こる」「スパontaneous」の意味で用いられる。,「自(6画)」「发(5画)」。既出の「自」を再利用。
kapric,任性,「気まぐれ・わがまま・勝手な」の意に近い。「任性」は日本語圏でも「任性」と書くので意味が取りやすい。,「任(6画)」「性(8画)」。次の arbitr と同じ「任」を再利用。
arbitr,任意,「任意」は「arbitrary」を指す非常に一般的な2文字熟語。,「任(6画)」「意(13画)」。前項「任性」と「任」を共有。
naturalism,自然主义,芸術上の「自然主義」は中国語で「自然主义」が最も定番。,「自然(既出)」＋「主义(前出)」。新規要素は特になく、合成で対応可能。
natur,自然,「自然」は最も直接的な訳語。既に複数回出ているため再利用可能。,「自(6画)」「然(12画)」。頻出のため学習メリットも大。
instinkt,本能,「本能」は日本語・中国語共に同形同義で分かりやすい。,「本(5画)」「能(10画)」。常用であり、応用範囲も広い。
aŭtograf,亲笔,「自笔」は中国語ではあまり一般的でなく、「亲笔(自身の手で書いた)」が通例。サイン・筆跡を指す文脈に合う。,「亲(9画)」「笔(10画)」。やや画数多めだが意味は分かりやすい。
aŭtobiografi,自传,「自传」は「自伝」を意味する標準的な表記。,「自(6画)」「传(6画)」。すでに「自」は多用。新出「传」(伝の簡体)も比較的頻度高め。
individu,个人,「个人」は「個人」を意味する中国語の基本表現。,「个(3画)」「人(2画)」。非常に画数が少なく学習コストが低い。
propr,固有,「固有」は「そのものに本来備わっている性質」を示す。日中いずれも馴染みのある表現。,「固(8画)」「有(6画)」。常用字であり応用もしやすい。
privat,私人,「私人」は「私的な/プライベート(個人所有・個人的)」を指す短い熟語。,「私(7画)」「人(2画)」。いずれも基本字で覚えやすい。
aŭtonom,自治,「自治」は「自ら治める」→自治の意味に最も直接的。,「自(6画)」「治(8画)」。既出「自」の再利用により負担軽減。
mem,自己,「自己」は「自分自身」を表すのに中国語でも常用。「亲自」「本⼈」なども近いが、汎用性は「自己」が最も高い。,「自(6画)」「己(3画)」。すでに「自」は多用しているため追加は「己」のみ。
antipod,对跖,「対蹠地(=地球上で正反対の地点)」は中国語で「对跖点」などと書くのが通例。2文字に省略し「对跖」。,「对(5画)」「跖(12画)」。特殊用語ゆえ少し難しいが妥当な簡略形。
kontrapunkt,对位,音楽理論での「対位法」は中国語で「对位」が基本。「对位法」と3文字になる場合もあるが、2文字で十分通じる。,「对(5画)」「位(7画)」。上項の「对」を再利用。
paradoks,悖论,中国語で「パラドックス」に相当する標準的な訳語は「悖论」です。日本語の「逆説」とは字面が異なるものの、中国語では「悖论」が定着しています。,新規2文字（「悖」「论」）。いずれも日本語話者にはやや馴染みが薄いかもしれませんが、中国語圏では意味が明確に通じます。
invers,逆,「逆」は「反対方向」「逆方向」「反転」を意味し、inverse・reverse のニュアンスに最も近い単字です。,新規1文字。日本語の「逆」と同形で、意味も通じやすい。
mal,反,エスペラントで「mal-」は「正反対」を表す接頭辞で、中国語の「反」(反対・逆) と非常に対応が良い。,新規1文字。「反」は今後、他の「反対」「反抗」などにも使い回せる可能性が高い。
rezist,抗,中国語の「抵抗」「抗拒」など「抗」を含む表現が多く、意味がわかりやすい。,新規1文字。以降、同じ「抗」を「protest（抗議する）」にも再利用可能。
konflikt,争,本来は「冲突」が標準的ですが、単字化を優先し画数を抑えるため「争」を採用。「争」は「争う/争い」で「衝突」「対立」など「コンフリクト」に近いニュアンスを伝えられる。,新規1文字。「争」は日本語でも馴染みがあり、中国語でも「争论」「战争」など多用される。
antipati,厌,「嫌う」「嫌悪する」「うんざりする」といった否定的感情を示す単字として、「厌」を採用。中国語で「厌恶」「厌倦」などにも使われる。,新規1文字。日本語話者にも「厭う」という形で比較的認知しやすい。
opozici,反,政治的反対(反対派)を表す標準的表記は「反对」だが、単字化のため「反」を再利用。,既出文字(3番の「mal」と同じ「反」)。語頭に付く「mal-」とは区別が必要だが、同じ字を使い回す方針により学習コストを削減。
opozici##,反,上と同様。「opozici」との語形違い(動詞/名詞)だが、同一字「反」を使い回す。,既出文字「反」を再利用。
protest,抗,「抗議」を表す中国語は「抗议」。単字化のため「抗」を流用。,既出文字(4番「rezist」と同じ)。
opon,反,「(に)反対する」という意味。すでに「反」を割り当てているので再利用が自然。,既出文字「反」。
ekstaz,狂,本来「狂喜(=エクスタシー)」が近いが2文字になるため、単字「狂」で「狂乱」「熱狂」のイメージを表す。,新規1文字。
